,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b0001,4134,4226,311,447,5277,6196,358,368
b0002,76008,52897,58117,127141,82980,78532,36899,48026
b0003,26803,19819,16854,52019,27615,25772,12258,19451
b0004,26024,18376,12127,31955,21903,20725,8593,11451
b0005,738,528,216,278,578,463,182,198
b0006,1304,1138,703,1209,1318,1268,1259,1461
b0007,223,197,134,228,228,220,311,277
b0008,29736,25955,16026,23827,30275,28649,24770,24490
b0009,677,595,459,747,755,601,748,783
b0010,235,208,72,128,165,157,217,134
b0011,41,25,41,51,70,63,68,59
b0013,10,15,8,16,12,17,5,10
b0014,26247,23118,27555,49239,53067,52348,37884,39208
b0015,4134,3156,2776,5470,6322,6376,5425,4587
b0016,1212,1044,659,1194,1314,1316,1367,1188
b0018,10,9,13,19,17,18,34,18
b0019,1048,851,1346,2338,1183,1247,3102,2664
b0020,848,681,389,966,860,805,1187,1113
b0021,30,25,9,25,26,47,45,42
b0022,88,76,18,48,63,62,42,54
b0023,23791,20210,4018,4831,19417,18168,7393,7418
b0024,22,38,35,112,27,26,96,102
b0025,5415,4642,3226,6785,5618,5458,6312,6754
b0026,27027,21854,21372,42484,28722,27280,34395,36749
b0027,1866,1557,1300,3031,1782,1734,2503,2643
b0028,1622,1478,737,1802,1630,1553,1597,1539
b0029,2367,1981,1652,3500,2125,1945,3060,3155
b0030,354,352,64,103,335,337,137,148
b0031,7236,5279,1620,2089,5043,5133,2176,2356
b0032,36833,29764,1106,1009,23609,21814,4967,6864
b0033,79633,60791,3206,3318,47977,45792,13629,17537
b0034,690,490,34,25,290,316,37,50
b0035,32,25,7,18,35,29,36,25
b0036,22,24,14,16,39,36,20,25
b0037,265,194,101,226,185,193,175,169
b0038,187,153,84,200,155,120,207,162
b0039,228,185,79,153,157,155,171,160
b0040,18,15,14,42,33,21,16,14
b0041,26,10,10,17,26,12,25,31
b0042,24,15,18,35,25,27,42,45
b0043,27,24,12,39,31,23,28,50
b0044,7,6,6,18,7,4,12,7
b0045,10,19,9,25,18,10,22,9
b0046,317,239,190,378,398,412,485,411
b0047,796,725,663,1236,1012,985,1368,1334
b0048,967,817,489,861,864,910,721,800
b0049,1279,1054,1268,2813,1421,1485,2706,2829
b0050,1093,858,854,3566,1212,1166,2610,3359
b0051,3435,2882,1886,4747,3606,3624,5056,5226
b0052,2953,2297,931,2517,2959,2880,2960,3106
b0053,9459,7780,5748,12267,10353,9861,14041,14971
b0054,17567,15169,12491,22493,19477,17823,24055,26023
b0055,779,591,591,940,744,783,1093,1232
b0058,649,513,408,1148,539,562,1066,962
b0059,3716,3296,3924,9303,3687,3412,7109,7441
b0060,699,626,1429,2672,1026,1037,2390,2319
b0061,33,25,31,76,63,37,46,67
b0062,111,102,139,237,145,115,241,231
b0063,70,75,97,171,142,86,149,165
b0064,614,528,502,776,845,893,1013,896
b0065,285,218,237,411,327,319,527,467
b0066,419,344,205,330,497,424,401,521
b0067,1009,753,251,636,1063,1038,851,915
b0068,3774,3514,2098,3143,5169,4840,3679,4013
b0069,767,695,536,1069,955,873,1019,1090
b0070,338,223,146,333,373,315,267,320
b0071,11080,9776,22815,61315,15333,15128,30695,26681
b0072,25844,22601,61767,147443,35517,34120,78964,61486
b0073,18930,16255,44242,114214,26617,25400,61319,47390
b0074,19181,17388,92744,214138,39964,37349,99150,73354
b0075,1918,1854,115,246,2446,3113,188,177
b0076,80,81,62,101,87,79,187,215
b0077,10054,7686,2868,5306,9233,9196,4902,5108
b0078,2676,1992,565,1095,2389,2497,1197,988
b0080,2540,2229,736,1240,2031,1902,1453,1514
b0081,2041,1778,1630,4022,2190,1947,3486,4477
b0082,2945,2347,2332,5051,3058,2933,5180,4684
b0083,1109,996,393,1690,1266,1095,1777,1661
b0084,3343,2969,1649,3469,3445,3593,3855,3397
b0085,4260,3631,2874,6607,4001,3865,6360,7167
b0086,3612,3144,2405,5380,3404,3076,5202,5983
b0087,1882,1541,808,2039,1692,1685,2174,2311
b0088,2940,2436,2227,4308,2706,2583,4773,4498
b0089,1921,1514,871,2063,1653,1725,2628,2290
b0090,2086,1845,1203,2701,1894,2001,2913,2846
b0091,3714,3151,2572,5132,3416,3322,5460,5628
b0092,2775,2295,1588,3488,2512,2423,3955,3411
b0093,2572,2112,1949,4457,2706,2623,4632,5150
b0094,3316,2784,2426,4364,3272,3535,4946,5057
b0095,14424,12233,12839,23712,14975,14503,22669,26597
b0096,14649,12311,11654,23298,16354,16190,21320,22126
b0097,3379,2915,1029,2101,3472,3093,2570,2643
b0098,12776,9887,5631,10007,11224,10432,11449,12332
b0099,191,135,28,46,140,141,52,43
b0101,678,607,261,554,589,531,613,697
b0102,1983,1577,1027,2119,1944,1923,2314,1964
b0103,1113,895,730,1860,1197,1003,1493,1664
b0104,8695,7598,3499,5321,10024,9549,5526,5502
b0106,126,100,75,118,120,131,171,112
b0107,120,112,88,218,179,154,198,191
b0108,5,8,4,10,7,5,5,11
b0109,1966,1558,826,1548,1870,1758,1586,1550
b0110,572,443,336,725,714,587,825,802
b0111,517,390,409,714,567,481,760,689
b0112,15598,12859,1333,1922,12481,11323,3951,4394
b0113,2889,2490,2759,4912,3102,2946,5284,6350
b0114,59943,49136,83089,146238,68628,64306,152109,173400
b0115,29175,23328,42155,76930,32540,31970,79031,89577
b0116,43740,35889,28024,43604,38883,36676,48593,51014
b0117,93,78,170,268,109,124,276,280
b0118,82136,65359,20510,35696,34665,32039,32598,37362
b0119,754,550,679,980,705,679,1206,880
b0120,8275,7391,1532,2738,8507,8015,4207,5188
b0121,8658,7173,2423,4513,8050,7362,5555,6549
b0122,727,539,348,732,703,634,734,1035
b0123,14977,12124,1936,3045,3608,3741,3692,3412
b0124,7497,5583,13181,26014,9070,8234,24751,27896
b0125,2626,2043,965,1338,1823,1681,1737,1398
b0126,15904,14443,16571,30981,20538,18999,30397,37054
b0127,1322,1151,904,1503,1562,1463,1847,1519
b0128,668,513,304,656,739,807,869,615
b0129,141,93,68,182,122,126,197,217
b0130,320,244,277,495,381,435,605,522
b0131,6567,5279,2622,3742,5515,5501,4162,3880
