,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b0001,2303,2354,311,284,3019,3485,245,232
b0002,36937,25801,58117,60901,40532,38470,17890,23112
b0003,10922,8250,16854,21042,11589,10840,4805,7879
b0004,11953,8463,12127,14498,10077,9532,3727,5103
b0005,472,345,216,178,362,297,104,120
b0006,669,588,703,633,682,653,660,767
b0007,116,101,134,120,117,112,161,138
b0008,15470,13532,16026,12204,15773,14951,12826,12494
b0009,358,321,459,403,411,324,407,410
b0010,123,111,72,64,85,82,110,67
b0011,22,13,41,25,35,32,35,27
b0013,5,8,8,8,7,8,4,3
b0014,13327,11750,27555,24866,26930,26627,19224,19764
b0015,2005,1547,2776,2601,3091,3150,2592,2212
b0016,650,568,659,612,730,731,685,623
b0018,4,2,13,4,11,11,18,7
b0019,497,417,1346,1187,591,623,1516,1366
b0020,408,330,389,446,429,394,528,531
b0021,8,8,9,11,10,15,16,14
b0022,49,38,18,27,33,26,17,30
b0023,13768,11440,4018,3024,11110,10438,4697,4420
b0024,10,16,35,52,14,10,40,43
b0025,2352,2102,3226,3298,2528,2444,2698,3447
b0026,12853,10448,21372,20545,13746,13091,16340,17800
b0027,757,645,1300,1329,732,758,1053,1157
b0028,703,662,737,717,734,724,657,585
b0029,1072,906,1652,1595,981,903,1391,1461
b0030,175,174,64,51,165,167,67,73
b0031,3920,2880,1620,1118,2702,2757,1184,1240
b0032,18052,14494,1106,468,11511,10682,2325,3218
b0033,38749,29580,3206,1625,23407,22357,6611,8569
b0034,433,304,34,16,186,189,26,31
b0035,20,16,7,10,23,21,22,13
b0036,11,12,14,5,18,18,6,11
b0037,142,97,101,111,98,99,86,83
b0038,90,72,84,94,78,58,95,75
b0039,111,91,79,82,77,78,84,89
b0040,9,8,14,21,16,9,8,7
b0041,13,5,10,7,11,5,13,15
b0042,10,7,18,14,10,12,20,20
b0043,12,11,12,15,13,11,12,22
b0044,4,1,6,7,1,2,5,2
b0045,7,9,9,10,8,6,9,4
b0046,143,105,190,163,176,189,198,183
b0047,392,355,663,606,490,486,668,664
b0048,504,436,489,466,456,480,391,430
b0049,589,481,1268,1271,642,685,1228,1327
b0050,328,279,854,1244,399,383,706,1265
b0051,1458,1295,1886,1831,1590,1599,1999,2143
b0052,1103,894,931,904,1162,1116,1006,1146
b0053,4326,3586,5748,5652,4835,4571,6373,6960
b0054,8871,7658,12491,11335,9873,9021,12133,13029
b0055,460,347,592,535,432,454,633,677
b0058,263,212,408,513,223,222,419,430
b0059,1807,1616,3924,4564,1803,1662,3459,3642
b0060,360,323,1429,1362,525,538,1199,1184
b0061,18,14,31,44,33,19,26,38
b0062,53,48,139,118,71,54,114,117
b0063,34,35,97,86,70,40,71,83
b0064,352,302,502,426,491,517,587,488
b0065,147,118,237,222,174,166,299,257
b0066,198,163,205,155,230,196,191,257
b0067,396,298,251,227,423,422,306,331
b0068,2039,1905,2098,1634,2856,2642,1923,2078
b0069,400,361,536,542,498,449,524,548
b0070,180,121,146,173,196,168,146,174
b0071,4760,4225,22815,24363,6657,6715,12134,10559
b0072,10983,9845,61767,63413,15488,14918,32687,26323
b0073,7576,6735,44242,50466,11046,10367,24030,21404
b0074,8990,8206,92744,105196,19204,17855,46758,36026
b0075,1017,1008,115,156,1372,1686,111,112
b0076,43,46,62,52,47,43,101,112
b0077,4673,3624,2868,2551,4384,4340,2311,2451
b0078,1017,797,565,447,973,1017,470,393
b0080,1394,1221,736,673,1108,1045,789,809
b0081,875,797,1630,1816,993,858,1457,2051
b0082,1138,934,2332,2077,1235,1175,1990,1919
b0083,272,284,393,468,372,303,391,438
b0084,1501,1359,1649,1528,1595,1657,1634,1488
b0085,1782,1511,2874,2708,1697,1700,2652,2900
b0086,1496,1295,2405,2183,1413,1322,2137,2449
b0087,723,615,808,848,685,667,860,960
b0088,1316,1103,2227,1965,1230,1165,2174,2052
b0089,785,628,871,786,697,741,1046,891
b0090,855,780,1203,1121,810,869,1156,1175
b0091,1712,1475,2572,2397,1597,1527,2480,2652
b0092,1163,992,1588,1444,1066,1039,1581,1400
b0093,1037,856,1949,1906,1151,1092,1810,2288
b0094,1448,1300,2426,2209,1611,1663,2117,2739
b0095,6984,5999,12839,11479,7357,7113,11036,12625
b0096,7393,6221,11654,11249,8265,8219,10634,10335
b0097,1672,1465,1029,967,1743,1556,1208,1224
b0098,6270,4872,5631,4876,5525,5137,5573,6024
b0099,98,74,28,24,73,73,31,22
b0101,336,291,261,232,276,261,277,278
b0102,782,626,1027,888,778,783,902,802
b0103,479,373,730,842,513,408,624,752
b0104,4497,3913,3499,2715,5185,4939,2832,2797
b0106,65,53,75,58,60,69,90,55
b0107,58,55,88,102,88,75,96,91
b0108,3,4,4,1,2,2,2,4
b0109,987,784,826,776,940,882,802,781
b0110,257,202,336,315,326,263,349,362
b0111,251,195,409,371,290,238,384,353
b0112,8535,6982,1333,1020,6766,6168,2157,2293
b0113,1626,1389,2759,2703,1735,1652,2910,3420
b0114,30149,24753,83089,72462,34485,32162,75034,85987
b0115,13739,10970,42155,36826,15337,15071,37387,42989
b0116,23625,19165,28024,23522,20814,19552,26446,27543
b0117,47,40,170,137,56,63,142,144
b0118,44044,34799,20510,18993,18424,17020,17331,19855
b0119,442,329,679,544,397,383,680,497
b0120,3811,3460,1532,1241,3973,3748,1899,2382
b0121,4043,3378,2423,2168,3809,3479,2634,3104
b0122,363,269,348,364,348,316,366,508
b0123,7589,6143,1936,1552,1830,1898,1894,1732
b0124,3805,2839,13181,13191,4624,4180,12590,14111
b0125,1477,1137,965,773,1021,948,1002,793
b0126,8044,7303,16571,15542,10365,9611,15428,18577
b0127,647,557,904,714,761,700,882,724
b0128,267,213,304,247,307,332,333,227
b0129,57,46,68,69,55,62,79,82
b0130,161,123,277,255,192,219,310,267
b0131,3792,3018,2622,2094,3140,3144,2400,2100
b0132,64,41,81,45,64,64,76,46
b0133,2771,2425,3117,2961,3257,2939,2862,2811
b0134,2255,1695,2205,1917,2452,2275,2203,2169
b0135,35,27,21,24,39,38,27,37
b0136,7,3,14,13,9,11,22,17
b0137,15,18,24,25,23,28,31,30
b0138,3,11,28,11,13,14,25,20
b0139,35,41,24,21,51,46,31,23
b0140,4,4,3,0,5,3,2,5
b0141,5,1,0,2,5,3,0,5
b0142,266,242,82,73,276,284,114,107
b0143,5236,4422,3891,3518,5031,4647,4221,5036
b0144,237,210,253,282,222,180,268,291
b0145,5090,4103,5718,3874,5346,5188,6017,3867
b0146,367,289,788,727,387,380,778,979
b0147,160,137,194,184,183,171,162,197
b0148,728,592,1156,1063,691,661,1091,1026
b0149,1513,1183,2525,2505,1610,1456,2569,2645
b0150,3981,2445,11278,9751,8088,7434,8913,7784
b0151,317,202,863,872,524,576,684,580
b0152,228,149,648,582,487,402,541,489
b0153,264,198,726,697,466,488,585,561
b0154,2783,2218,3086,2722,2798,2609,3272,2881
b0155,514,418,1153,1013,733,722,1076,1018
b0156,1136,909,838,646,857,816,856,658
b0157,132,108,80,51,118,121,74,62
b0158,164,129,103,84,140,153,98,107
b0159,2216,1890,1958,1831,2357,2099,1868,1959
b0160,530,469,547,465,592,578,577,561
b0161,2026,1756,2733,2266,3413,3217,3818,4217
b0162,65,42,104,87,68,71,80,87
b0163,1145,941,1764,1575,1445,1426,1708,1632
b0164,126,98,32,25,78,92,31,43
b0166,10571,8736,6861,5412,9703,8875,6155,6370
b0167,1623,1425,3401,3251,2258,2077,3024,2733
b0168,2920,2245,3546,3187,3579,3428,3428,3669
b0169,38288,30367,23465,19542,28934,27338,27773,27610
b0170,15761,12540,11323,9631,11724,11342,11526,12013
b0171,3210,2415,2208,1834,2409,2314,1875,2262
b0172,8290,6924,6680,5521,7018,6630,6377,6661
b0173,353,278,817,870,352,365,759,770
b0174,1347,1214,896,811,1287,1281,890,1010
b0175,839,655,597,651,741,777,697,725
b0176,2723,2196,2353,2148,2946,2850,2587,3195
b0177,9159,7636,8718,7758,9956,9649,10109,10586
b0178,5084,4153,5596,5128,5047,4871,6295,6843
b0179,7334,5994,8484,8163,7542,7060,9236,9921
b0180,2103,1766,1902,1963,2075,1948,1779,2257
b0181,2355,1981,2535,2947,2119,2141,2505,3349
b0182,1475,1212,1394,1593,1447,1310,1495,1832
b0183,508,372,430,423,464,418,405,536
b0184,3058,2407,2604,2388,2647,2468,2504,2999
b0185,3968,3182,2104,1899,3002,2837,2277,2222
b0186,694,547,2023,1993,779,735,2069,2040
b0187,140,117,202,197,149,162,257,288
b0188,662,516,977,827,642,586,951,833
b0189,233,180,357,389,286,266,399,399
b0190,252,203,258,247,260,262,259,298
b0191,133,121,256,317,202,167,274,302
b0192,426,365,917,952,416,421,1072,1069
b0193,46,32,33,18,38,29,32,22
b0194,8696,6953,7305,6213,6739,6599,7721,8580
b0195,439,369,308,273,484,497,300,351
b0196,1045,975,1087,952,1449,1227,1024,922
b0197,10799,8754,19677,14315,10673,9815,27837,32041
b0198,1547,1415,3477,2696,1873,1761,4745,5813
b0199,3309,2946,10601,7636,4396,3850,14178,15678
b0200,485,412,691,611,512,512,731,828
b0207,290,219,525,442,360,321,326,311
b0208,281,279,338,328,345,318,322,291
b0209,1109,868,2248,2040,1296,1152,2309,2085
b0210,91,92,116,111,82,70,144,167
b0211,5350,4591,2836,2825,7261,6880,3094,4302
b0212,523,476,767,638,561,579,736,707
b0213,335,259,351,354,364,323,319,332
b0214,396,363,316,240,375,340,307,312
b0215,1135,964,1980,1811,1258,1136,1749,1898
b0217,30,23,10,16,20,27,9,15
b0219,270,228,776,759,359,310,803,733
b0220,1231,954,2855,2143,1457,1562,4062,4118
b0221,803,621,2234,2555,844,839,1924,1933
b0222,1753,1478,1889,1590,1719,1581,1776,1484
b0223,1094,985,1138,1136,1218,1102,1192,1215
b0224,1948,1701,1254,1047,2057,1867,1410,1433
b0225,239,200,120,113,196,189,156,135
b0226,386,311,399,351,473,463,535,431
b0227,58,41,108,114,59,52,119,99
